"Trade Date","Ticker","Open Price","Close Price","Volume","Sector","Validated","Currency","Exchange","Notes"
"09/01/2025","AAPL ","192.47","191.90","21646536"," Technology ","na","-"," NASDAQ"," gap up "
"09/01/2025","MSFT","456.51","459.76",""," Technology","-","na","na","NA"
"09/01/2025","","151.27","150.45","20405836","Consumer Discretionary ","na","usd"," NASDAQ ","-"
"09/01/2025","-","139.61","141.17","12795579","-","Yes",""," NYSE"," gap down "
"09/01/2025","-","1190.21","1198.56","16389274"," Semiconductors ","na","USD","NYSE",""
"09/01/2025"," TSLA ","245.81","244.27","13350388","Automotive","na","usd"," NASDAQ ","-"
"09/01/2025"," META ","493.91","491.42","12963843"," Communication Services","NO","USD"," NASDAQ "," gap down "
"09/01/2025","NFLX","603.91","599.53","-","Communication Services ","na","usd","NYSE","EoD"
"09/02/2025","AAPL ","-","188.92","10513474","Technology ","","-","NYSE"," pre-earnings "
"09/02/2025"," MSFT ","450.93","-","17277392","Technology ","","usd","NYSE ","EoD"
"09/02/2025","AMZN","na","na","24690780","Consumer Discretionary ","Yes","NA","NYSE ","NA"
"09/02/2025","","","142.16","10718842"," Communication Services ","Yes",""," NYSE ",""
"09/02/2025"," NVDA","1180.14","1176.78","14094696","Semiconductors","NO","-","na","rev miss"
"09/02/2025"," TSLA ","na","242.69","-","Automotive ","NO","USD","na","-"
"09/02/2025","META","493.87","498.86","11887391","Communication Services","YES","-","NASDAQ ","NA"
"09/02/2025"," NFLX ","na","592.66","21608458","Communication Services ","","NA","-","EoD"
"09/03/2025"," AAPL","","191.24","14508076","Technology","na","-","NASDAQ "," gap down "
"09/03/2025","MSFT ","461.15","461.28","19595278"," Technology ","-","NA","na"," pre-earnings "
"09/03/2025"," AMZN","152.58","152.26","15180231"," Consumer Discretionary","YES","-"," NYSE"," gap up "
"09/03/2025","GOOGL","","142.15","26850869"," Communication Services","n","usd"," NASDAQ ","NA"
"09/03/2025"," NVDA","-","1185.85","20497116"," Semiconductors ","-","usd"," NASDAQ ","EoD"
"09/03/2025","TSLA ","246.40","245.27","","Automotive ","-","","na"," gap up "
"09/03/2025","META ","498.06","503.78","14129142","Communication Services ","-","NA"," NYSE","-"
"09/03/2025"," NFLX ","595.84","","25825512","Communication Services ","n","-"," NYSE","-"
"09/04/2025"," AAPL ","191.03","189.90","13637583","na","-",""," NASDAQ"," pre-earnings "
"09/04/2025"," MSFT ","459.39","459.05","-"," Technology","n","USD","na"," gap up "
"09/04/2025","","153.32","-","-","na","No","NA","NASDAQ ","rev miss"
"09/04/2025","GOOGL ","-","139.76","21481080"," Communication Services ","N","USD","-","NA"
"09/04/2025","NVDA","1170.02","1168.81","13879183"," Semiconductors","Yes","-"," NYSE"," gap up "
"09/04/2025","","242.88","","18100553"," Automotive ","y",""," NYSE "," gap down "
"09/04/2025"," META","497.77","501.24","na","Communication Services ","y","USD","-","NA"
"09/04/2025"," NFLX","598.32","598.00","12610631"," Communication Services ","YES","USD","-"," gap up "
"09/05/2025","na","191.78","-","16723175","Technology","na","-"," NYSE",""
"09/05/2025"," MSFT","","na","8352061","Technology","n","na","NYSE","EoD"
"09/05/2025"," AMZN ","151.52","-","14869174","Consumer Discretionary ","No","-",""," pre-earnings "
"09/05/2025","GOOGL ","140.85","139.93","14453664","Communication Services ","Y",""," NASDAQ","NA"
"09/05/2025","NVDA ","1182.79","1194.65","26249454"," Semiconductors ","-","usd"," NASDAQ "," gap down "
"09/05/2025","TSLA","-","247.70","18533645"," Automotive","YES",""," NYSE "," gap down "
